RiserSlack,Stress,YieldStrength
27.48,100.3,125
27.48,100.4,125
27.48,100.4,125
27.48,100.4,125
27.48,100.4,125
27.48,100.4,125
27.48,100.5,125
27.49,100.5,125
27.49,100.5,125
27.49,100.5,125
27.49,100.6,125
27.49,100.6,125
27.49,100.6,125
27.49,100.6,125
27.5,100.6,125
27.5,100.7,125
27.5,100.7,125
27.5,100.7,125
27.5,100.7,125
27.5,100.8,125
27.5,100.8,125
27.51,100.8,125
27.51,100.8,125
27.51,100.8,125
27.51,100.9,125
27.51,100.9,125
27.51,100.9,125
27.51,100.9,125
27.52,100.9,125
27.52,101,125
27.52,101,125
27.52,101,125
27.52,101,125
27.52,101.1,125
27.52,101.1,125
27.53,101.1,125
27.53,101.1,125
27.53,101.1,125
27.53,101.1,125
27.53,101.2,125
27.53,101.2,125
27.53,101.2,125
27.54,101.2,125
27.54,101.2,125
27.54,101.3,125
27.54,101.3,125
27.54,101.3,125
27.54,101.3,125
27.54,101.3,125
27.54,101.4,125
27.55,101.4,125
27.55,101.4,125
27.55,101.4,125
27.55,101.4,125
27.55,101.4,125
27.55,101.5,125
27.55,101.5,125
27.56,101.5,125
27.56,101.5,125
27.56,101.5,125
27.56,101.5,125
27.56,101.6,125
27.56,101.6,125
27.56,101.6,125
27.57,101.6,125
27.57,101.6,125
27.57,101.6,125
27.57,101.6,125
27.57,101.7,125
