Riser Stretch,Stress (Elastic),Yield Strength (125ksi)
0.17,18.32,125
0.17,18.36,125
0.17,18.41,125
0.17,18.45,125
0.17,18.5,125
0.17,18.54,125
0.17,18.59,125
0.17,18.63,125
0.17,18.68,125
0.17,18.72,125
0.17,18.77,125
0.18,18.81,125
0.18,18.86,125
0.18,18.9,125
0.18,18.95,125
0.18,18.99,125
0.18,19.04,125
0.18,19.08,125
0.18,19.13,125
0.18,19.17,125
0.18,19.22,125
0.18,19.26,125
0.18,19.31,125
0.18,19.35,125
0.18,19.4,125
0.18,19.44,125
0.18,19.49,125
0.18,19.53,125
0.18,19.58,125
0.18,19.62,125
0.18,19.67,125
0.18,19.71,125
0.18,19.76,125
0.18,19.8,125
0.18,19.85,125
0.18,19.89,125
0.18,19.94,125
0.18,19.98,125
0.18,20.03,125
0.18,20.07,125
0.18,20.12,125
0.18,20.16,125
0.18,20.21,125
0.18,20.25,125
0.18,20.3,125
0.18,20.34,125
0.18,20.39,125
0.18,20.43,125
0.18,20.48,125
0.18,20.52,125
0.18,20.57,125
0.19,20.61,125
0.19,20.66,125
0.19,20.7,125
0.19,20.75,125
0.19,20.79,125
0.19,20.84,125
0.19,20.88,125
0.19,20.93,125
0.19,20.97,125
0.19,21.02,125
0.19,21.06,125
0.19,21.11,125
0.19,21.15,125
0.19,21.2,125
0.19,21.24,125
0.19,21.29,125
0.19,21.33,125
0.19,21.38,125
0.19,21.42,125
0.19,21.47,125
0.19,21.51,125
0.19,21.56,125
0.19,21.6,125
0.19,21.65,125
0.19,21.69,125
0.19,21.74,125
0.19,21.78,125
0.19,21.83,125
0.19,21.87,125
0.19,21.92,125
0.19,21.96,125
0.19,22.01,125
0.19,22.05,125
0.19,22.1,125
0.19,22.14,125
0.19,22.82,125
0.19,23.43,125
0.19,23.96,125
0.19,24.37,125
0.19,24.6,125
0.2,24.62,125
0.2,24.37,125
0.2,24.05,125
0.2,23.91,125
0.2,24,125
0.2,24.42,125
0.32,25,125
0.37,25.53,125
0.42,26.06,125
0.48,26.52,125
0.54,26.79,125
0.6,26.84,125
0.66,26.67,125
0.73,26.36,125
0.79,26.06,125
0.86,25.94,125
0.92,26.08,125
0.97,26.47,125
1.02,26.99,125
1.08,27.45,125
1.14,27.79,125
1.2,27.92,125
1.27,27.86,125
1.34,27.66,125
1.4,27.39,125
1.47,27.14,125
1.53,27.08,125
1.6,27.24,125
1.65,27.69,125
1.71,28.31,125
1.76,28.93,125
1.82,29.4,125
1.88,29.62,125
1.95,29.62,125
2.01,29.49,125
2.08,29.37,125
2.14,29.34,125
2.21,29.48,125
2.26,29.82,125
2.32,30.35,125
2.37,31.01,125
2.43,31.69,125
2.48,32.24,125
2.54,32.56,125
2.6,32.62,125
2.67,32.52,125
2.74,32.41,125
2.8,32.41,125
2.86,32.55,125
2.92,32.9,125
2.97,33.39,125
3.03,33.96,125
3.08,34.52,125
3.14,34.97,125
3.2,35.22,125
3.26,35.25,125
3.33,35.12,125
3.39,34.94,125
3.46,34.82,125
3.52,34.89,125
3.58,35.16,125
3.64,35.61,125
3.69,36.13,125
3.75,36.66,125
3.81,37.04,125
3.87,37.27,125
3.93,37.31,125
4,37.21,125
4.07,37.05,125
4.13,36.97,125
4.2,37.08,125
4.26,37.39,125
4.31,37.9,125
4.37,38.5,125
4.43,39.07,125
4.49,39.5,125
4.55,39.78,125
4.61,39.87,125
4.68,39.85,125
4.74,39.78,125
4.81,39.78,125
4.87,39.94,125
4.93,40.28,125
4.99,40.8,125
5.04,41.39,125
5.1,41.97,125
5.16,42.41,125
5.22,42.67,125
5.28,42.75,125
5.35,42.71,125
5.41,42.65,125
5.48,42.64,125
5.54,42.76,125
5.6,43.06,125
5.66,43.51,125
5.71,44.05,125
5.77,44.57,125
5.83,44.98,125
5.89,45.21,125
5.95,45.28,125
6.02,45.22,125
6.09,45.14,125
6.15,45.12,125
6.22,45.26,125
6.28,45.57,125
6.33,46.02,125
6.39,46.55,125
6.45,47.08,125
6.51,47.5,125
6.57,47.78,125
6.63,47.88,125
6.7,47.86,125
6.76,47.82,125
6.83,47.85,125
6.89,48.02,125
6.95,48.35,125
7.01,48.83,125
7.07,49.39,125
7.13,49.91,125
7.18,50.34,125
7.25,50.63,125
7.31,50.75,125
7.38,50.76,125
7.44,50.74,125
7.51,50.76,125
7.57,50.93,125
7.63,51.23,125
7.69,51.69,125
7.75,52.22,125
7.8,52.71,125
7.86,53.12,125
7.93,53.39,125
7.99,53.49,125
8.05,53.5,125
8.12,53.47,125
8.19,53.51,125
8.25,53.65,125
8.31,53.96,125
8.37,54.39,125
8.43,54.91,125
8.48,55.4,125
8.54,55.82,125
8.6,56.1,125
8.67,56.23,125
8.73,56.25,125
8.8,56.27,125
8.86,56.31,125
8.93,56.49,125
8.99,56.8,125
9.05,57.26,125
9.11,57.77,125
9.16,58.28,125
9.22,58.7,125
9.29,58.99,125
9.35,59.14,125
9.41,59.19,125
9.48,59.2,125
9.55,59.28,125
