MooringLineLength,Static,Wind,Current,All
885,647.4730325,778.9882275,787.0083341,938.9226355
895,647.3124124,778.8301956,786.8505511,938.6914859
905,647.1518918,778.6722632,786.6928676,938.4597389
915,646.9913712,778.5143309,786.5352339,938.2276934
925,646.8309502,778.3564981,786.37765,937.9950505
935,646.6706287,778.1986653,786.2201158,937.7620094
945,646.5103072,778.040932,786.0626812,937.5285702
955,646.3500852,777.8831987,785.9052466,937.2946332
965,646.189913,777.725565,785.7478617,937.0603976
975,646.0297906,777.5679811,785.5905764,936.8255646
985,645.869718,777.4103972,785.4332911,936.5904331
995,645.7096951,777.2529128,785.2761054,936.3549033
1005,645.5497718,777.0954781,785.1189694,936.1189754
1015,645.3898983,776.9380435,784.9618832,935.8826492
1025,645.2300745,776.7807085,784.804797,935.6459249
1035,645.0703503,776.6234232,784.6478104,935.408902
1045,644.9106261,776.4661876,784.4909232,935.1714808
1055,644.7510014,776.3090019,784.3340361,934.933761
1065,644.5914763,776.1518659,784.1771988,934.695643
1075,644.4319512,775.9947797,784.0204113,934.4573259
1085,644.2725256,775.8377433,783.8637232,934.2187102
1095,644.1131001,775.6807566,783.7070352,933.9797958
1105,643.9537741,775.5238695,783.5504468,933.7406823
1115,643.7945476,775.3669824,783.3939081,933.5012702
1125,643.6353211,775.2101451,783.2373694,933.2617586
1135,643.4761942,775.0533575,783.0809303,933.0219483
1145,643.317117,774.8966695,782.9245409,932.7819389
1155,643.1580896,774.7399815,782.7682013,932.5417304
1165,642.9991618,774.5833931,782.6119115,932.3013228
1175,642.8402838,774.4268046,782.4557212,932.0608157
1185,642.6814555,774.2703157,782.2995309,931.8201094
1195,642.522677,774.1138268,782.1433904,931.5792041
1205,642.3639482,773.9574374,781.9873495,931.3381992
1215,642.205319,773.8010978,781.8313085,931.0969953
1225,642.0467396,773.644808,781.6753671,930.8570854
1235,641.88821,773.4885182,781.5194257,930.6156823
1245,641.7297799,773.3323279,781.3635839,930.3875191
1255,641.5713498,773.1761874,781.2077918,930.175184
1265,641.4130192,773.0200967,781.0520495,929.9787764
1275,641.2547882,772.8640557,780.896357,929.8007852
1285,641.0965572,772.7081143,780.7407142,929.6423054
1295,640.9384258,772.5521729,780.5851212,929.5223504
1305,640.7803441,772.3962813,780.429578,929.426287
1315,640.6223122,772.2404394,780.2740846,929.3474452
